1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 430000003251F441
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Fri Nov 06 10:17:01 EST 2015
Mission Sample Count:  599
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Nov 06 10:17:01 EST 2015
Total Mission Samples:  599
Total Device Samples:  32622
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/11/15 10:17:01 AM,C,28.157
6/11/15 10:22:01 AM,C,28.157
6/11/15 10:27:01 AM,C,27.658
6/11/15 10:32:01 AM,C,27.658
6/11/15 10:37:01 AM,C,27.658
6/11/15 10:42:01 AM,C,27.658
6/11/15 10:47:01 AM,C,27.658
6/11/15 10:52:01 AM,C,27.658
6/11/15 10:57:01 AM,C,27.658
6/11/15 11:02:01 AM,C,27.658
6/11/15 11:07:01 AM,C,27.658
6/11/15 11:12:01 AM,C,27.658
6/11/15 11:17:01 AM,C,27.658
6/11/15 11:22:01 AM,C,27.658
6/11/15 11:27:01 AM,C,27.658
6/11/15 11:32:01 AM,C,27.658
6/11/15 11:37:01 AM,C,27.658
6/11/15 11:42:01 AM,C,27.658
6/11/15 11:47:01 AM,C,27.158
6/11/15 11:52:01 AM,C,27.158
6/11/15 11:57:01 AM,C,27.158
6/11/15 12:02:01 PM,C,27.658
6/11/15 12:07:01 PM,C,27.658
6/11/15 12:12:01 PM,C,27.658
6/11/15 12:17:01 PM,C,27.658
6/11/15 12:22:01 PM,C,27.658
6/11/15 12:27:01 PM,C,27.658
6/11/15 12:32:01 PM,C,27.658
6/11/15 12:37:01 PM,C,27.658
6/11/15 12:42:01 PM,C,27.658
6/11/15 12:47:01 PM,C,27.658
6/11/15 12:52:01 PM,C,27.658
6/11/15 12:57:01 PM,C,27.658
6/11/15 1:02:01 PM,C,27.658
6/11/15 1:07:01 PM,C,27.658
6/11/15 1:12:01 PM,C,27.658
6/11/15 1:17:01 PM,C,28.157
6/11/15 1:22:01 PM,C,28.157
6/11/15 1:27:01 PM,C,28.157
6/11/15 1:32:01 PM,C,28.157
6/11/15 1:37:01 PM,C,28.157
6/11/15 1:42:01 PM,C,28.157
6/11/15 1:47:01 PM,C,28.157
6/11/15 1:52:01 PM,C,28.157
6/11/15 1:57:01 PM,C,28.157
6/11/15 2:02:01 PM,C,28.157
6/11/15 2:07:01 PM,C,28.157
6/11/15 2:12:01 PM,C,28.157
6/11/15 2:17:01 PM,C,28.157
6/11/15 2:22:01 PM,C,28.157
6/11/15 2:27:01 PM,C,28.157
6/11/15 2:32:01 PM,C,28.157
6/11/15 2:37:01 PM,C,28.157
6/11/15 2:42:01 PM,C,28.157
6/11/15 2:47:01 PM,C,28.157
6/11/15 2:52:01 PM,C,28.157
6/11/15 2:57:01 PM,C,28.157
6/11/15 3:02:01 PM,C,28.157
6/11/15 3:07:01 PM,C,28.657
6/11/15 3:12:01 PM,C,28.657
6/11/15 3:17:01 PM,C,28.657
6/11/15 3:22:01 PM,C,28.657
6/11/15 3:27:01 PM,C,28.657
6/11/15 3:32:01 PM,C,28.657
6/11/15 3:37:01 PM,C,28.657
6/11/15 3:42:01 PM,C,28.657
6/11/15 3:47:01 PM,C,28.657
6/11/15 3:52:01 PM,C,28.157
6/11/15 3:57:01 PM,C,28.157
6/11/15 4:02:01 PM,C,28.157
6/11/15 4:07:01 PM,C,28.157
6/11/15 4:12:01 PM,C,28.157
6/11/15 4:17:01 PM,C,28.657
6/11/15 4:22:01 PM,C,28.657
6/11/15 4:27:01 PM,C,28.657
6/11/15 4:32:01 PM,C,28.657
6/11/15 4:37:01 PM,C,29.157
6/11/15 4:42:01 PM,C,28.657
6/11/15 4:47:01 PM,C,28.157
6/11/15 4:52:01 PM,C,27.658
6/11/15 4:57:01 PM,C,27.158
6/11/15 5:02:01 PM,C,26.658
6/11/15 5:07:01 PM,C,26.158
6/11/15 5:12:01 PM,C,25.658
6/11/15 5:17:01 PM,C,25.158
6/11/15 5:22:01 PM,C,25.158
6/11/15 5:27:01 PM,C,24.658
6/11/15 5:32:01 PM,C,24.658
6/11/15 5:37:01 PM,C,24.158
6/11/15 5:42:01 PM,C,24.158
6/11/15 5:47:01 PM,C,24.158
6/11/15 5:52:01 PM,C,24.158
6/11/15 5:57:01 PM,C,24.158
6/11/15 6:02:01 PM,C,24.158
6/11/15 6:07:01 PM,C,24.158
6/11/15 6:12:01 PM,C,24.158
6/11/15 6:17:01 PM,C,24.158
6/11/15 6:22:01 PM,C,24.158
6/11/15 6:27:01 PM,C,24.158
6/11/15 6:32:01 PM,C,24.158
6/11/15 6:37:01 PM,C,24.158
6/11/15 6:42:01 PM,C,24.158
6/11/15 6:47:01 PM,C,24.158
